task_id,priority,research_gaps,artwork_slug,production_artwork_id,local_artwork_id,status,artline_artwork_url,current_title,current_artist_slugs,current_creator_relationships,current_unlinked_creator_label,current_country_codes,popular,current_date_text,current_year_start,current_year_end,current_date_precision,date_scope,current_work_type,current_object_form,current_medium,current_dimensions,current_museum_slug,current_museum,current_museum_country_code,current_museum_url,current_accession_number,current_authority_ids,current_source_urls,selection_evidence_recorded,current_image_url,image_state,current_image_source_page_url,current_image_license,current_image_license_url,current_image_credit,proposed_title,proposed_artist_slug,proposed_artist_name,proposed_artist_authority_url,proposed_attribution_role,proposed_country_codes,country_evidence_url,proposed_date_text,proposed_year_start,proposed_year_end,proposed_date_precision,date_evidence_url,proposed_work_type,proposed_medium,proposed_dimensions,proposed_museum,proposed_museum_url,proposed_museum_country_code,proposed_accession_number,proposed_source_object_id,verified_source_name,verified_source_record_url,metadata_terms_url,proposed_image_url,proposed_image_source_page_url,proposed_thumbnail_url,proposed_iiif_manifest_url,proposed_image_license,proposed_image_license_url,image_rights_evidence_url,image_rights_fact,image_attribution,image_creator_credit,proposed_image_width,proposed_image_height,visual_match_verified,image_rights_result,research_outcome,research_notes,checked_at
0fe8e3c6-fd35-534e-91da-b9699f1e5c42,1,image,wikimedia-artwork-q1112111,0fe8e3c6-fd35-534e-91da-b9699f1e5c42,0fe8e3c6-fd35-534e-91da-b9699f1e5c42,review,https://artline-web-lpuqqlugnq-ew.a.run.app/artists/albrecht-durer-q5580/works/0fe8e3c6-fd35-534e-91da-b9699f1e5c42,Portrait of a Young Fürleger with Loose Hair,albrecht-durer-q5580,"[{""artist_slug"":""albrecht-durer-q5580"",""name"":""Albrecht Dürer"",""role"":""primary""}]",,DE,true,1497,1497,1497,exact,eligible,painting,,,,staedel-museum,Städel Museum,DE,https://www.staedelmuseum.de,937,"[{""scheme"":""wikidata"",""id"":""Q1112111"",""url"":""https://www.wikidata.org/wiki/Q1112111""}]","[""https://www.wikidata.org/wiki/Q1112111""]",true,,missing,,,,,Portrait of a Young Woman with Her Hair Down,albrecht-durer-q5580,Albrecht Dürer,,primary,,,1497,1497,1497,exact,https://sammlung.staedelmuseum.de/en/work/portrait-of-a-young-woman-with-her-hair-down,watercolor,Watercolours on canvas,56.3 × 43.2 cm,"Städel Museum, Frankfurt am Main",,,937,,"Städel Museum, Frankfurt am Main",https://sammlung.staedelmuseum.de/en/work/portrait-of-a-young-woman-with-her-hair-down,,https://upload.wikimedia.org/wikipedia/commons/7/7f/Portrait_of_a_Young_Woman_with_Her_Hair_Down_%28SM_937%29.png?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original,https://commons.wikimedia.org/wiki/File:Portrait_of_a_Young_Woman_with_Her_Hair_Down_(SM_937).png,https://thumb.wikimedia.org/wikipedia/commons/thumb/7/7f/Portrait_of_a_Young_Woman_with_Her_Hair_Down_%28SM_937%29.png/500px-Portrait_of_a_Young_Woman_with_Her_Hair_Down_%28SM_937%29.png?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail&_=20201212194305,,Public Domain Mark 1.0,https://creativecommons.org/publicdomain/mark/1.0/,https://commons.wikimedia.org/wiki/File:Portrait_of_a_Young_Woman_with_Her_Hair_Down_(SM_937).png,"The exact file page states that its copyright holder made the file available under Public Domain Mark 1.0. Source is the Städel object record, which labels picture copyright Public Domain and identifies the 1497 Dürer watercolour. This is image-specific evidence, not a metadata licence.","Albrecht Dürer; Städel Museum, Frankfurt am Main; Public Domain Mark 1.0; https://creativecommons.org/publicdomain/mark/1.0/; no changes made.","Albrecht Dürer; Städel Museum, Frankfurt am Main",3664,4945,true,approved,verified_image,"Museum identifies an unknown young woman. The Fürleger identification depended on a coat of arms added later; do not treat it as a verified sitter name. Viewed the complete unframed portrait: praying young woman with loose hair, dark green background and AD monogram at upper left. Portrait orientation and composition agree with Städel accession 937.",2026-09-15T19:09:17.906678Z
70cbbbd2-704d-4537-9d6f-499f6dfa4d5e,1,image,europe-joconde-m0629-e7e7a20eaa39-apres-la-debacle-la-seine-au-pont-de-suresnes,70cbbbd2-704d-4537-9d6f-499f6dfa4d5e,70cbbbd2-704d-4537-9d6f-499f6dfa4d5e,review,https://artline-web-lpuqqlugnq-ew.a.run.app/artists/alfred-sisley-q175130/works/70cbbbd2-704d-4537-9d6f-499f6dfa4d5e,APRES LA DEBACLE LA SEINE AU PONT DE SURESNES,alfred-sisley-q175130,"[{""artist_slug"":""alfred-sisley-q175130"",""name"":""Alfred Sisley"",""role"":""primary""}]",,FR,true,1880,1880,1880,exact,eligible,painting,,peinture à l'huile;toile,46 H ; 65 L,joconde-m0629,musée des beaux-arts — Lille,FR,https://pop.culture.gouv.fr/notice/museo/M0629,P 1894,"[{""scheme"":""european-joconde-m0629-object"",""id"":""000PE019965"",""url"":""https://pop.culture.gouv.fr/notice/joconde/000PE019965""}]","[""https://pop.culture.gouv.fr/notice/joconde/000PE019965""]",true,,missing,,,,,APRES LA DEBACLE LA SEINE AU PONT DE SURESNES,alfred-sisley-q175130,Sisley Alfred (1839-1899),,primary,,,1880,1880,1880,exact,https://pop.culture.gouv.fr/notice/joconde/000PE019965,painting,Peinture à l’huile sur toile,46 H ; 65 L,Lille ; musée des Beaux-Arts,,,P 1894,000PE019965,Ministère de la Culture — POP/Joconde,https://pop.culture.gouv.fr/notice/joconde/000PE019965,https://github.com/etalab/licence-ouverte/blob/master/LO.md,,,,,,,https://pop.culture.gouv.fr/notice/joconde/000PE019965,Photographic credit on this record: © Réunion des musées nationaux - utilisation soumise à autorisation © Jacques Quecq d'Henripret. No accepted image licence established from this record.,,,,,false,restricted,verified_metadata_only,,2026-09-15T18:45:07.389033+00:00
79837398-5ade-406c-8783-cda9582afd6e,1,image,europe-met-the-met-546ce2c15414-boy-in-a-striped-sweater,79837398-5ade-406c-8783-cda9582afd6e,79837398-5ade-406c-8783-cda9582afd6e,review,https://artline-web-lpuqqlugnq-ew.a.run.app/artists/amedeo-modigliani-q120993/works/79837398-5ade-406c-8783-cda9582afd6e,Boy in a Striped Sweater,amedeo-modigliani-q120993,"[{""artist_slug"":""amedeo-modigliani-q120993"",""name"":""Amedeo Modigliani"",""role"":""primary""}]",,IT,true,1918,1918,1918,exact,eligible,painting,,Oil on canvas,36 x 21 1/2 in. (91.4 x 54.6 cm),the-met,The Metropolitan Museum of Art,,https://www.metmuseum.org/,1999.363.56,"[{""scheme"":""european-met-the-met-object"",""id"":""490011"",""url"":""https://www.metmuseum.org/art/collection/search/490011""}]","[""https://www.metmuseum.org/art/collection/search/490011""]",true,,missing,,,,,Boy in a Striped Sweater,amedeo-modigliani-q120993,Amedeo Modigliani,https://www.wikidata.org/wiki/Q120993,primary,,,1918,1918,1918,exact,https://collectionapi.metmuseum.org/public/collection/v1/objects/490011,painting,Oil on canvas,36 x 21 1/2 in. (91.4 x 54.6 cm),The Metropolitan Museum of Art,https://www.metmuseum.org/,,1999.363.56,490011,The Metropolitan Museum of Art Collection API,https://collectionapi.metmuseum.org/public/collection/v1/objects/490011,,,,,,,,https://collectionapi.metmuseum.org/public/collection/v1/objects/490011,The exact API record returns isPublicDomain=false and no primaryImage. Its metadata access does not establish reuse permission for an image.,,,,,false,unresolved,verified_metadata_only,,2026-09-15T18:45:04.811361+00:00
e52c8499-6c65-42db-8747-aac0bf6c2070,1,image,europe-popular-ng-377e303e6cde-a-woman-drinking,e52c8499-6c65-42db-8747-aac0bf6c2070,e52c8499-6c65-42db-8747-aac0bf6c2070,review,https://artline-web-lpuqqlugnq-ew.a.run.app/artists/andrea-mantegna-q5681/works/e52c8499-6c65-42db-8747-aac0bf6c2070,A Woman Drinking,andrea-mantegna-q5681,"[{""artist_slug"":""andrea-mantegna-q5681"",""name"":""Andrea Mantegna"",""role"":""primary""}]",,IT,true,about 1495-1506,1495,1506,circa_range,eligible,painting,,egg tempera on wood,71.2 × 19.8 cm,national-gallery-london,National Gallery,GB,https://www.nationalgallery.org.uk,NG1125.2,"[{""scheme"":""european-popular-ng-object"",""id"":""0FU7-0001-0000-0000"",""url"":""https://www.nationalgallery.org.uk/data/0FU7-0001-0000-0000""}]","[""https://www.nationalgallery.org.uk/data/0FU7-0001-0000-0000""]",true,,missing,,,,,A Woman Drinking,andrea-mantegna-q5681,Andrea Mantegna,https://www.nationalgallery.org.uk/artists/andrea-mantegna,primary,,,About 1495-1506,1495,1506,circa_range,https://www.nationalgallery.org.uk/paintings/andrea-mantegna-a-woman-drinking,painting,Egg tempera on wood (poplar),71.2 × 19.8 cm,"National Gallery, London",https://www.nationalgallery.org.uk,,NG1125.2,,"National Gallery, London",https://www.nationalgallery.org.uk/paintings/andrea-mantegna-a-woman-drinking,,,,,,,,https://www.nationalgallery.org.uk/paintings/andrea-mantegna-a-woman-drinking,The retrieved object record does not establish an accepted licence for its reproduction. No image URL proposed from this source.,,,,,false,unresolved,verified_metadata_only,,2026-09-15T18:45:14.810469+00:00
082b0b6b-8975-4817-b3a3-467a60d9a0a4,1,image;painter_country,europe-tate-4b851e6a6ff1-a-lady-of-the-spencer-family,082b0b6b-8975-4817-b3a3-467a60d9a0a4,87cdb289-d86e-4ad3-b147-3b072b578fd1,review,https://artline-web-lpuqqlugnq-ew.a.run.app/artists/anthony-van-dyck-q150679/works/082b0b6b-8975-4817-b3a3-467a60d9a0a4,A Lady of the Spencer Family,anthony-van-dyck-q150679,"[{""artist_slug"":""anthony-van-dyck-q150679"",""name"":""Anthony van Dyck"",""role"":""primary""}]",,,true,c.1633–8,1633,1638,circa_range,eligible,painting,,Oil paint on canvas,support: 2076 x 1276 mm,tate,Tate,,https://www.tate.org.uk,T02139,"[{""scheme"":""european-tate-object"",""id"":""15694"",""url"":""https://www.tate.org.uk/art/artworks/van-dyck-a-lady-of-the-spencer-family-t02139""}]","[""https://www.tate.org.uk/art/artworks/van-dyck-a-lady-of-the-spencer-family-t02139""]",true,,missing,,,,,A Lady of the Spencer Family,anthony-van-dyck-q150679,Anthony van Dyck,,primary,,,c.1633–8,1633,1638,circa_range,https://www.tate.org.uk/art/artworks/van-dyck-a-lady-of-the-spencer-family-t02139,painting,Oil paint on canvas,,Tate,,,T02139,,Tate,https://www.tate.org.uk/art/artworks/van-dyck-a-lady-of-the-spencer-family-t02139,,,,,,,,https://www.tate.org.uk/art/artworks/van-dyck-a-lady-of-the-spencer-family-t02139,No explicit accepted licence for an exact reproduction was established in the retrieved source. No direct image proposed.,,,,,false,unresolved,verified_metadata_only,"Object title, creator, date, object identifier and medium were available in the museum page/its public HTML. Dimensions were not retrieved. Further image research remains.",2026-09-15T19:05:12.138391Z
5deac859-a3a1-4456-9bc3-1916aad1555e,1,image,europe-popular-ng-26f6641eeb17-a-peasant-boy-leaning-on-a-sill,5deac859-a3a1-4456-9bc3-1916aad1555e,5deac859-a3a1-4456-9bc3-1916aad1555e,review,https://artline-web-lpuqqlugnq-ew.a.run.app/artists/bartolome-esteban-murillo-q192062/works/5deac859-a3a1-4456-9bc3-1916aad1555e,A Peasant Boy leaning on a Sill,bartolome-esteban-murillo-q192062,"[{""artist_slug"":""bartolome-esteban-murillo-q192062"",""name"":""Bartolomé Esteban Murillo"",""role"":""primary""}]",,ES,true,about 1675-80,1675,1680,circa_range,eligible,painting,,oil on canvas,52 × 38.5 cm,national-gallery-london,National Gallery,GB,https://www.nationalgallery.org.uk,NG74,"[{""scheme"":""european-popular-ng-object"",""id"":""0F2H-0001-0000-0000"",""url"":""https://www.nationalgallery.org.uk/data/0F2H-0001-0000-0000""}]","[""https://www.nationalgallery.org.uk/data/0F2H-0001-0000-0000""]",true,,missing,,,,,A Peasant Boy leaning on a Sill,bartolome-esteban-murillo-q192062,Bartolomé Esteban Murillo,https://www.nationalgallery.org.uk/artists/bartolome-esteban-murillo,primary,,,About 1675-80,1675,1680,circa_range,https://www.nationalgallery.org.uk/paintings/bartolome-esteban-murillo-a-peasant-boy-leaning-on-a-sill,painting,Oil on canvas,52 × 38.5 cm,"National Gallery, London",https://www.nationalgallery.org.uk,,NG74,,"National Gallery, London",https://www.nationalgallery.org.uk/paintings/bartolome-esteban-murillo-a-peasant-boy-leaning-on-a-sill,,,,,,,,https://www.nationalgallery.org.uk/paintings/bartolome-esteban-murillo-a-peasant-boy-leaning-on-a-sill,The retrieved object record does not establish an accepted licence for its reproduction. No image URL proposed from this source.,,,,,false,unresolved,verified_metadata_only,,2026-09-15T18:45:27.078077+00:00
713158da-7ed4-461a-8355-391a46f7a840,1,image,europe-popular-marmottan-museum-132af58af1cc-au-bal,713158da-7ed4-461a-8355-391a46f7a840,713158da-7ed4-461a-8355-391a46f7a840,review,https://artline-web-lpuqqlugnq-ew.a.run.app/artists/berthe-morisot-q105320/works/713158da-7ed4-461a-8355-391a46f7a840,Au bal,berthe-morisot-q105320,"[{""artist_slug"":""berthe-morisot-q105320"",""name"":""Berthe Morisot"",""role"":""primary""}]",,FR,true,1875,1875,1875,exact,eligible,painting,,toile (peinture à l’huile),H. 62 cm ; l. 52 cm ; H. 81 cm ; l. 70.5 cm,musee-marmottan-monet,Musée Marmottan Monet,FR,https://www.marmottan.fr,4020,"[{""scheme"":""european-popular-marmottan-museum-object"",""id"":""4020"",""url"":""https://www.marmottan.fr/notice/4020/""}]","[""https://www.marmottan.fr/notice/4020/""]",true,,missing,,,,,Au bal,berthe-morisot-q105320,Berthe Morisot,,primary,,,1875,1875,1875,exact,https://www.marmottan.fr/notice/4020/,painting,Huile sur toile,H. 62 cm ; l. 52 cm ; H. 81 cm ; l. 70.5 cm,Musée Marmottan Monet,,,4020,,Musée Marmottan Monet,https://www.marmottan.fr/notice/4020/,,,,,,,,https://www.marmottan.fr/notice/4020/,No explicit accepted licence for an exact reproduction was established in the retrieved source. No direct image proposed.,,,,,false,unresolved,verified_metadata_only,Source supplies two dimension sets without labelling the second as framed. Both are preserved; do not silently substitute one for the other.,2026-09-15T19:05:12.138391Z
3a973386-8e2f-4c11-8f1e-c3c9b2a77383,1,image,uffizi-Q1328065-portrait-of-eleonora-di-toledo-with-her-son-giovanni,3a973386-8e2f-4c11-8f1e-c3c9b2a77383,3a973386-8e2f-4c11-8f1e-c3c9b2a77383,review,https://artline-web-lpuqqlugnq-ew.a.run.app/artists/bronzino-q7803/works/3a973386-8e2f-4c11-8f1e-c3c9b2a77383,Portrait of Eleonora di Toledo with her son Giovanni,bronzino-q7803,"[{""artist_slug"":""bronzino-q7803"",""name"":""Bronzino"",""role"":""primary""}]",,IT,true,c. 1545,1545,1545,circa,eligible,painting,,Oil on wood,115 × 96 cm,uffizi,Uffizi Galleries,,https://www.uffizi.it/en/,1890 no. 748,"[{""scheme"":""uffizi-object"",""id"":""Q1328065"",""url"":""https://www.uffizi.it/en/artworks/eleonora-di-toledo""}]","[""https://www.uffizi.it/en/artworks/eleonora-di-toledo"",""https://www.uffizi.it/en/professional-services/publications""]",true,,missing,,,,,Portrait of Eleonora di Toledo with her son Giovanni,bronzino-q7803,Agnolo Bronzino,,primary,,,1545 c.,1545,1545,circa,https://www.uffizi.it/en/artworks/eleonora-di-toledo,painting,Oil on wood,115 x 96 cm,Uffizi Galleries,https://www.uffizi.it/en/,,1890 no. 748,,Uffizi Galleries,https://www.uffizi.it/en/artworks/eleonora-di-toledo,,https://upload.wikimedia.org/wikipedia/commons/f/f0/Bronzino_-_Eleonora_di_Toledo_col_figlio_Giovanni_-_Google_Art_Project.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=original,https://commons.wikimedia.org/wiki/File:Bronzino_-_Eleonora_di_Toledo_col_figlio_Giovanni_-_Google_Art_Project.jpg,https://thumb.wikimedia.org/wikipedia/commons/thumb/f/f0/Bronzino_-_Eleonora_di_Toledo_col_figlio_Giovanni_-_Google_Art_Project.jpg/500px-Bronzino_-_Eleonora_di_Toledo_col_figlio_Giovanni_-_Google_Art_Project.jpg?utm_source=commons.wikimedia.org&utm_campaign=index&utm_content=thumbnail&_=20110220175701,,Public Domain Mark 1.0,https://creativecommons.org/publicdomain/mark/1.0/deed.en,https://commons.wikimedia.org/wiki/File:Bronzino_-_Eleonora_di_Toledo_col_figlio_Giovanni_-_Google_Art_Project.jpg,The exact Commons file carries Public Domain Mark 1.0 and a PD-Art statement covering the faithful reproduction and the original artwork. Its source/photographer provenance is retained in the credit. Commons notes that reuse of PD-Art photographs may differ by jurisdiction.,Agnolo Bronzino; Uffizi Galleries; Google Art Project; Public Domain Mark 1.0; https://creativecommons.org/publicdomain/mark/1.0/deed.en; no changes made.,Agnolo Bronzino; Uffizi Galleries; Google Art Project,2553,3098,true,approved,verified_image,"Viewed the complete unframed portrait: Eleonora in a patterned brocade dress against blue, her young son beside her. Matches the Uffizi 748 portrait and its vertical format.",2026-09-15T19:09:17.906678Z
39bca909-bc44-40fb-ae7e-c5636bed36b2,1,image,europe-tate-b6f3146cd4d0-a-corner-of-the-meadow-at-eragny,39bca909-bc44-40fb-ae7e-c5636bed36b2,204e7b89-33b7-4773-aad6-04887905ae1d,review,https://artline-web-lpuqqlugnq-ew.a.run.app/artists/camille-pissarro-q134741/works/39bca909-bc44-40fb-ae7e-c5636bed36b2,A Corner of the Meadow at Eragny,camille-pissarro-q134741,"[{""artist_slug"":""camille-pissarro-q134741"",""name"":""Camille Pissarro"",""role"":""primary""}]",,FR,true,1902,1902,1902,exact,eligible,painting,,Oil paint on canvas,support: 600 x 813 mm frame: 857 x 1056 x 95 mm,tate,Tate,,https://www.tate.org.uk,N06003,"[{""scheme"":""european-tate-object"",""id"":""12082"",""url"":""https://www.tate.org.uk/art/artworks/pissarro-a-corner-of-the-meadow-at-eragny-n06003""}]","[""https://www.tate.org.uk/art/artworks/pissarro-a-corner-of-the-meadow-at-eragny-n06003""]",true,,missing,,,,,A Corner of the Meadow at Eragny,camille-pissarro-q134741,Camille Pissarro,,primary,,,1902,1902,1902,exact,https://www.tate.org.uk/art/artworks/pissarro-a-corner-of-the-meadow-at-eragny-n06003,painting,Oil paint on canvas,,Tate,,,N06003,,Tate,https://www.tate.org.uk/art/artworks/pissarro-a-corner-of-the-meadow-at-eragny-n06003,,,,,,,,https://www.tate.org.uk/art/artworks/pissarro-a-corner-of-the-meadow-at-eragny-n06003,No explicit accepted licence for an exact reproduction was established in the retrieved source. No direct image proposed.,,,,,false,unresolved,verified_metadata_only,"Object title, creator, date, object identifier and medium were available in the museum page/its public HTML. Dimensions were not retrieved. Further image research remains.",2026-09-15T19:05:12.138391Z
9a710b71-4b16-4392-ae66-d2a57facafaa,1,image,europe-pushkin-5207196eeca1-bucentaur-s-return-to-the-pier-by-the-palazzo-ducale,9a710b71-4b16-4392-ae66-d2a57facafaa,9a710b71-4b16-4392-ae66-d2a57facafaa,review,https://artline-web-lpuqqlugnq-ew.a.run.app/artists/canaletto-q182664/works/9a710b71-4b16-4392-ae66-d2a57facafaa,BUCENTAUR’S RETURN TO THE PIER BY THE PALAZZO DUCALE,canaletto-q182664,"[{""artist_slug"":""canaletto-q182664"",""name"":""Canaletto"",""role"":""primary""}]",,IT,true,1727 - 1729,1727,1729,range,eligible,painting,,,182х259  см.,pushkin-state-museum-fine-arts,Pushkin State Museum of Fine Arts,RU,https://pushkinmuseum.art,Ж-2678,"[{""scheme"":""european-pushkin-object"",""id"":""6886"",""url"":""https://pushkinmuseum.art/data/fonds/europe_and_america/j/1001_2000/zh_2678/index.php""}]","[""https://pushkinmuseum.art/data/fonds/europe_and_america/j/1001_2000/zh_2678/index.php""]",true,,missing,,,,,Возвращение Бучинторо к молу у Дворца дожей,canaletto-q182664,Джованни Антонио Каналь (Каналетто),,primary,,,1727–1729,1727,1729,range,https://pushkinmuseum.art/data/fonds/europe_and_america/j/1001_2000/zh_2678/index.php,painting,"Холст, масло",182 × 259 cm,,,,Ж-2678,,,https://pushkinmuseum.art/data/fonds/europe_and_america/j/1001_2000/zh_2678/index.php,,,,,,,,https://pushkinmuseum.art/data/fonds/europe_and_america/j/1001_2000/zh_2678/index.php,No explicit accepted licence for an exact reproduction was established in the retrieved source. No direct image proposed.,,,,,false,unresolved,needs_review,Legacy Pushkin page identifies Ж-2678 but contains an inconsistent Hermitage heading while its text discusses the Pushkin painting and a related Hermitage picture. Holding must be resolved against a clean institutional record; no museum change proposed.,2026-09-15T19:05:12.138391Z
