artist_slug,production_artist_id,local_artist_id,artist_name,entity_type,status,popular,popularity_rank,artline_artist_url,current_aliases,current_birth_year,current_death_year,current_date_display,current_country_codes,current_country_relationships,geography_review_state,has_biography,current_authority_ids,current_source_urls,artworks,paintings,no_primary_image,no_displayable_image,paintings_no_displayable_image,research_gaps,proposed_name,proposed_country_codes,country_evidence_url,country_evidence_fact,proposed_birth_year,proposed_death_year,date_evidence_url,proposed_artist_authority_url,proposed_artist_source_url,research_outcome,research_notes,checked_at
tintoretto-q9319,0200b9bd-c767-4173-904d-2ac416328cca,0200b9bd-c767-4173-904d-2ac416328cca,Tintoretto,person,review,true,41,https://artline-web-lpuqqlugnq-ew.a.run.app/artists/tintoretto-q9319,"[""Il Furioso"",""Jacopo Comin"",""Jacopo di Giovanni Battista Robusti"",""Jacopo Tintoretto""]",1518,1594,1518–1594,IT,"[{""country_code"":""IT"",""relationship_type"":""birth"",""is_primary"":false},{""country_code"":""IT"",""relationship_type"":""cultural_affiliation"",""is_primary"":false}]",classified,true,"[{""scheme"":""nga-constituent"",""id"":""1929"",""url"":""""},{""scheme"":""wikidata"",""id"":""Q9319"",""url"":""https://www.wikidata.org/wiki/Q9319""}]","[""https://pantheon.world/profile/person/Tintoretto"",""https://raw.githubusercontent.com/NationalGalleryOfArt/opendata/f088836026d09d0d25001814fba0f84d757ebe62/data/constituents.csv"",""https://www.wikidata.org/wiki/Q9319""]",12,11,5,5,5,,,,,,,,,,,,,
eugene-delacroix-q33477,02952966-62ef-4244-9565-57ae1fbd54bc,02952966-62ef-4244-9565-57ae1fbd54bc,Eugène Delacroix,person,review,true,31,https://artline-web-lpuqqlugnq-ew.a.run.app/artists/eugene-delacroix-q33477,"[""Delacroix"",""Eugene Delacroix"",""Ferdinand-Eugene-Victor Delacroix"",""Ferdinand-Victor-Eugène Delacroix""]",1798,1863,1798–1863,FR,"[{""country_code"":""FR"",""relationship_type"":""birth"",""is_primary"":false},{""country_code"":""FR"",""relationship_type"":""cultural_affiliation"",""is_primary"":false}]",classified,true,"[{""scheme"":""fng-person"",""id"":""70481"",""url"":""https://kokoelma.kansallisgalleria.fi/en/object/402004""},{""scheme"":""nga-constituent"",""id"":""1221"",""url"":""""},{""scheme"":""smk-person"",""id"":""1396_person"",""url"":""https://api.smk.dk/api/v1/art?object_number=KMS1956""},{""scheme"":""wikidata"",""id"":""Q33477"",""url"":""https://www.wikidata.org/wiki/Q33477""}]","[""https://api.smk.dk/api/v1/art?object_number=KMS1956"",""https://kokoelma.kansallisgalleria.fi/en/object/402004"",""https://pantheon.world/profile/person/Eug%C3%A8ne_Delacroix"",""https://raw.githubusercontent.com/NationalGalleryOfArt/opendata/f088836026d09d0d25001814fba0f84d757ebe62/data/constituents.csv"",""https://www.pop.culture.gouv.fr/notice/joconde/000PE000918"",""https://www.pop.culture.gouv.fr/notice/joconde/07290022758"",""https://www.wikidata.org/wiki/Q33477""]",570,76,282,282,45,,,,,,,,,,,,,
frida-kahlo-q5588,02c6290b-3b2e-45df-8e7b-7612887d9193,02c6290b-3b2e-45df-8e7b-7612887d9193,Frida Kahlo,person,review,true,9,https://artline-web-lpuqqlugnq-ew.a.run.app/artists/frida-kahlo-q5588,"[""De Rivera Kahlo"",""Frida Kahlo Calderon"",""Frida Kahlo De Rivera"",""Frida Khalo"",""Frida Rivera"",""Frida Rivera-Kahlo"",""Magdalena Carmen Frida Kahlo Calderon"",""Magdalena Carmen Frida Kahlo y Calderon"",""Magdalena Carmen Frieda Kahlo y Calderon"",""Mrs. Diego Rivera""]",1907,1954,1907–1954,MX,"[{""country_code"":""MX"",""relationship_type"":""birth"",""is_primary"":false},{""country_code"":""MX"",""relationship_type"":""cultural_affiliation"",""is_primary"":false}]",classified,true,"[{""scheme"":""moma-person"",""id"":""2963"",""url"":""https://www.moma.org/collection/works/78784""},{""scheme"":""wikidata"",""id"":""Q5588"",""url"":""https://www.wikidata.org/wiki/Q5588""}]","[""https://media.githubusercontent.com/media/MuseumofModernArt/collection/7f1a337ee48e7daa05b5fdbc575a1797ac23b6cf/Artists.csv"",""https://pantheon.world/profile/person/Frida_Kahlo"",""https://www.moma.org/collection/works/78784"",""https://www.wikidata.org/wiki/Q5588""]",3,3,3,3,3,,,,,,,,,,,,,
kazimir-malevich-q130777,12697a4b-c8f1-456b-ab95-50d00de023ed,12697a4b-c8f1-456b-ab95-50d00de023ed,Kazimir Malevich,person,review,true,63,https://artline-web-lpuqqlugnq-ew.a.run.app/artists/kazimir-malevich-q130777,"[""Kazimierz Malewicz"",""Kazimir Severinovich Malevich"",""Kazymyr Malevych"",""Kazymyr Severynovych Malevych"",""Malevich"",""Казимир Малевич"",""Казимир Малевич"",""Казимир Малевіт"",""Казимир Северинович Малевич"",""Казимир Шеверінович Малевич"",""Казімеж Малевич"",""Малевиць «Азимир Севериновиц»"",""Малевич"",""Т. Малевича""]",1879,1935,1879–1935,RU,"[{""country_code"":""RU"",""relationship_type"":""cultural_affiliation"",""is_primary"":false},{""country_code"":""UA"",""relationship_type"":""birth"",""is_primary"":false}]",classified,true,"[{""scheme"":""tate-person"",""id"":""1561"",""url"":""https://www.tate.org.uk/art/artworks/malevich-dynamic-suprematism-t02319""},{""scheme"":""wikidata"",""id"":""Q130777"",""url"":""https://www.wikidata.org/wiki/Q130777""}]","[""https://pantheon.world/profile/person/Kazimir_Malevich"",""https://rusmuseumvrm.ru/reference/classifier/author/malevich_ks/index.php"",""https://www.tate.org.uk/art/artworks/malevich-dynamic-suprematism-t02319"",""https://www.wikidata.org/wiki/Q130777""]",64,63,57,57,56,,,,,,,,,,,,,
anthony-van-dyck-q150679,1703ba8b-2115-4dc5-b82b-9ae5a97e2705,1703ba8b-2115-4dc5-b82b-9ae5a97e2705,Anthony van Dyck,person,review,true,49,https://artline-web-lpuqqlugnq-ew.a.run.app/artists/anthony-van-dyck-q150679,"[""A. Dyck"",""After van Dyck"",""After Vandyck"",""&amp Vandyck"",""An. Dyk"",""Anthonie Dijck"",""Anthonie Dyck"",""Anthonie van Dijck"",""Anthonie van Dyck"",""Anthonie van Dyk"",""Anthonij van Dijck"",""Anthonio van Dijk"",""Anthonis van Dijck"",""Anthonis, van Dyck"",""Anthonis van Dyk"",""Anthonius van Dijck"",""anthonius van dyck"",""Anthonius van Dyk"",""Anthoni van Dyck"",""Anthon van Dyck"",""Anthony, Sir van Dyck"",""Anthony, Sir Vandyck"",""anthonys van dyck"",""Anthony van Dick"",""Anthony van Dijk"",""anthony van dyck"",""Anthony Vandyck"",""Anthony van Dycke"",""Anthony Vandycke"",""Anthony van Dyck Sir"",""Anthony van Dyk"",""Anthony Vandyke"",""Anthony van, Sir Dyck"",""Anth. van Dyck"",""Anth. van Dyk"",""Anth. Vandyke"",""Anth. v. Dyck"",""Antoine Vandeik"",""Antoine Vandich"",""Antoine van Dick"",""Antoine Vandick"",""Antoine Vandik"",""Antoine van Dyck"",""Antoine Vandyck"",""Antoine van Dyk"",""Antoine Vandyk"",""Antoine Wandick"",""Antoin Vandyk"",""Anton de Dück"",""Antonie van Dijck"",""Antonie van Dyck"",""Antonii van Dyck"",""Antonio Dyck"",""Antonio van Deyc"",""Antonio van Deyck"",""Antonio Vandicch"",""Antonio Vandich"",""Antonio Vandichi fiamengho"",""Antonio Vandik"",""Antonio Vandik Fiammingo"",""Antonio Vandych"",""Antonio van Dyck"",""Antonio Vandyck"",""Antonio van Dyk"",""Antonio von Dyk"",""Antonio Wandik"",""Antonis van Daĭk"",""Antonis van Dyck"",""Antonius van Dyck"",""Antoni van Deĭk"",""Antoni van Dyck"",""Antoni van Dyk"",""Antoni v. Deick"",""Anton van Daik"",""Anton van Dijck"",""Anton. van Dyck"",""Anton van Dyk"",""Anton Vandyk"",""Anton von Deyck"",""Anton von Dyck"",""antonys van dyck"",""Antony van Dijck"",""Antony van Dyck"",""Antony van Dyk"",""Antoon Dijck"",""Antoon Dyck"",""Antoon, Sir van Dyck"",""antoon van dyck"",""Anttonio Vandique"",""Antt.o van Deyck"",""Ant. Vandeick"",""Ant. Vandeyck"",""Ant. van Dick"",""Ant. Vandick"",""Ant. van Dyck"",""Ant. Vandyck"",""Ant. van Dyk"",""Ant. van Dyks"",""Ant.v. Dyck"",""Ant v. Dyk"",""Ant. von Dyck"",""An. van Dyck"",""A. Vandick"",""A. Van-Dick"",""A. van Dijk"",""A. van Dik"",""A. Vandik"",""A. van Dyc"",""A. Vandych"",""A. van Dyck"",""A. Vandyck"",""A. Vandyck. en Italie"",""A. van Dycl"",""A. van Dyk"",""A. Vandyk"",""A Vandyke"",""A. Vaudick"",""A.v. Dyck"",""A. v. Dyk"",""A. v. Dyke"",""A. von Deyk"",""A. von Dyck"",""Badic"",""baldique"",""Bandeique"",""bandic"",""bandio"",""Bandiq"",""Bandique"",""Ban Dycq"",""Chevaliér van Dyk"",""Chev. Anton van Dyk"",""comme de van Dyck"",""&c. Vandyck"",""Dack"",""Deick"",""den Ridder van Dyk"",""Dyck"",""dyck anton van"",""Dyck Ant. van"",""Dyck V"",""dyck van"",""Dyk"",""Dyke"",""jan van dyck"",""Kopie naar Anthony van Dyck"",""Mandique"",""Sir Ant. Flem. Vandyck"",""Sir Anthony van Dijck"",""Sir Anthony van Dyck"",""Sir Anthony Vandyck"",""sir anthony van dycke"",""Sir Anthony Vandyke"",""Sir Antonio van Dyck"",""Sir Ant. Vandyck"",""sir A. van dyck"",""Sir A. Vandyck"",""Sir A. Vandyke"",""Sir Dyck"",""Sr. Ant. Van. Dych"",""Valdiq"",""Valdique"",""van A. dyck"",""Vandaich"",""Vand Duyke"",""Vandec"",""Vandech"",""Vandeck"",""Vandeic"",""Vandeich"",""Van Deick"",""Vandeique"",""Vandeyc"",""Van-Deyck"",""vandic"",""Vandicca"",""Vandicche"",""Vandicco"",""Vandich"",""Van Dich"",""Van Dich Antonio"",""Vandiche"",""Vandichi"",""Vandick"",""Van-Dick"",""Vandick Fiammengo"",""Van Dijck"",""Van Dijk"",""Vandik"",""Vandike"",""Vandino"",""Vandiq"",""Van diq"",""Vandique"",""Vandisco fiamengo"",""Van Dyc"",""Vandych"",""Van Dych"",""Vandyck"",""Van-Dyck"",""van dyck a."",""Vandycke"",""Van Dycke"",""Van Dyck School"",""van dyck sir anthony"",""van Dyijck"",""Vandyk"",""Van Dyk"",""Vandyke"",""Van Dyke"",""Vannic"",""Vannich"",""Van Vandyck"",""Vau Dyke"",""v. Dychs"",""V. Dyck"",""V. Dycke"",""v. Dyk"",""V. Dyke"",""Vendeich"",""Vnaydke"",""von Deick"",""von Deyck"",""von Deycks"",""von Dyck"",""von Dyk"",""Wanclelfef"",""Wandich"",""Wandick"",""Wan Dick"",""Wandih"",""Wandik"",""Wandyck"",""Wan Dyck""]",1599,1641,1599–1641,,"[{""country_code"":""BE"",""relationship_type"":""birth"",""is_primary"":false}]",not_reviewed,true,"[{""scheme"":""nga-constituent"",""id"":""1259"",""url"":""""},{""scheme"":""rijks-person"",""id"":""2106175"",""url"":""https://id.rijksmuseum.nl/20027776""},{""scheme"":""smk-person"",""id"":""1626_person"",""url"":""https://api.smk.dk/api/v1/art?object_number=KMSsp242""},{""scheme"":""tate-person"",""id"":""565"",""url"":""https://www.tate.org.uk/art/artists/sir-anthony-van-dyck-565""},{""scheme"":""walters-person"",""id"":""6861"",""url"":""https://purl.thewalters.org/art/37.234""},{""scheme"":""wikidata"",""id"":""Q150679"",""url"":""https://www.wikidata.org/wiki/Q150679""}]","[""https://api.smk.dk/api/v1/art?object_number=KMSsp242"",""https://pantheon.world/profile/person/Anthony_van_Dyck"",""https://raw.githubusercontent.com/NationalGalleryOfArt/opendata/f088836026d09d0d25001814fba0f84d757ebe62/data/constituents.csv"",""https://www.pop.culture.gouv.fr/notice/joconde/09940004643"",""https://www.tate.org.uk/art/artists/sir-anthony-van-dyck-565"",""https://www.wikidata.org/wiki/Q150679""]",121,65,41,41,26,country,,,https://raw.githubusercontent.com/NationalGalleryOfArt/opendata/main/data/constituents.csv,"Official NGA constituent 1259, Sir Anthony van Dyck, Wikidata Q150679: nationality = Flemish; displaydate = Flemish, 1599 - 1641. Flemish is the documented cultural label. The supplied taxonomy has no Flemish code; do not silently replace it with BE, NL, GB or a birthplace-based choice.",,,,,https://raw.githubusercontent.com/NationalGalleryOfArt/opendata/main/data/constituents.csv,needs_review,Country evidence researched. Additional museum paintings were sought in the NGA objects dataset and checked against the complete supplied active/archived index and redirects. See duplicate_check_audit.csv.,2026-09-15T19:16:49.818984Z
johannes-vermeer-q41264,17cd6649-b7b1-4e19-8c03-d1238df36d7d,17cd6649-b7b1-4e19-8c03-d1238df36d7d,Johannes Vermeer,person,review,true,14,https://artline-web-lpuqqlugnq-ew.a.run.app/artists/johannes-vermeer-q41264,"[""de Delfet Vander-Meer"",""de Delfsche vander Meer"",""De Delfsche van der Meer"",""de Delftsche van der Meer"",""de Delft Vander Méer"",""de Delfze van der Meer"",""Delfsche van der Meer"",""Delfter Vermeer"",""Delftsche Vermeer"",""De Meere"",""Der Delftsche v. d. Neer"",""Ĭokhannes Vermer"",""Ĭokhannes Vermer Delftskiĭ"",""jan der meer"",""Jan Reyniersz Vermeer van Delft"",""Jan van Der Meer"",""jan van der meer der altere"",""Jan Van der Meer van Delft"",""Jan Vermeer de Delft"",""Jan Vermeer Delft"",""Jan Vermeer of Delft"",""jan vermeer of haarlem"",""Johannes Schwartz"",""Johannes van Delft Vermeer"",""J. vander Meer van Delft"",""J. Vermeer of Delft"",""of Delft Van der Meer"",""of Delft V. der Meer"",""van der Meer"",""Vandermeer de Delft"",""Van der Meer de Delft"",""Vander Meer de Delft"",""vander Meer van Delft"",""Van der, of Delft Meer"",""V. D. Meer"",""ver meer"",""vermeer of haarlem"",""Vermeer van Delft"",""Vermeer van van Delft""]",1632,1675,1632–1675,NL,"[{""country_code"":""NL"",""relationship_type"":""birth"",""is_primary"":false},{""country_code"":""NL"",""relationship_type"":""cultural_affiliation"",""is_primary"":false}]",classified,true,"[{""scheme"":""nga-constituent"",""id"":""1951"",""url"":""""},{""scheme"":""rijks-person"",""id"":""2101778"",""url"":""https://id.rijksmuseum.nl/200108370""},{""scheme"":""wikidata"",""id"":""Q41264"",""url"":""https://www.wikidata.org/wiki/Q41264""}]","[""https://id.rijksmuseum.nl/200108370"",""https://pantheon.world/profile/person/Johannes_Vermeer"",""https://raw.githubusercontent.com/NationalGalleryOfArt/opendata/f088836026d09d0d25001814fba0f84d757ebe62/data/constituents.csv"",""https://www.wikidata.org/wiki/Q41264""]",20,18,6,6,4,,,,,,,,,,,,,
jean-honore-fragonard-q127171,18f1c6ba-4184-4546-b5b8-dddcec11ded2,18f1c6ba-4184-4546-b5b8-dddcec11ded2,Jean-Honoré Fragonard,person,review,true,91,https://artline-web-lpuqqlugnq-ew.a.run.app/artists/jean-honore-fragonard-q127171,"[""Frago"",""Fragoard"",""Fragona"",""Fragonard"",""Fragonard Père"",""Fragonart"",""Fragonnard"",""Frangnoard"",""Frangonard"",""Frangouard"",""Fraynorard"",""Frayonard"",""Frigonard"",""Frogonard"",""H. Fragonard"",""H. Fragonnard"",""Hon. Fragonard"",""Honoré Frago"",""honore fragonard"",""Honoré Fragonart"",""i. h. fragonard"",""jan honore fragonard"",""Jean Honore Fragonard"",""j. h. fragonard"",""Messieurs Fragonard"",""M. Fragonard"",""M. Fragonnard"",""MM. Fragonard"",""V. Frogonard"",""Zhan-Onore Fragonar""]",1732,1806,1732–1806,FR,"[{""country_code"":""FR"",""relationship_type"":""birth"",""is_primary"":false},{""country_code"":""FR"",""relationship_type"":""cultural_affiliation"",""is_primary"":false}]",classified,true,"[{""scheme"":""nga-constituent"",""id"":""1316"",""url"":""""},{""scheme"":""walters-person"",""id"":""4888"",""url"":""https://purl.thewalters.org/art/38.324""},{""scheme"":""wikidata"",""id"":""Q127171"",""url"":""https://www.wikidata.org/wiki/Q127171""}]","[""https://pantheon.world/profile/person/Jean-Honor%C3%A9_Fragonard"",""https://raw.githubusercontent.com/NationalGalleryOfArt/opendata/f088836026d09d0d25001814fba0f84d757ebe62/data/constituents.csv"",""https://www.pop.culture.gouv.fr/notice/joconde/08120000185"",""https://www.wikidata.org/wiki/Q127171""]",168,44,89,89,17,,,,,,,,,,,,,
paul-gauguin-q37693,194b060e-6c54-47e9-958d-51517678d34f,194b060e-6c54-47e9-958d-51517678d34f,Paul Gauguin,person,review,true,22,https://artline-web-lpuqqlugnq-ew.a.run.app/artists/paul-gauguin-q37693,"[""Eugene-Henri Gauguin"",""Eugene-Henri-Paul Gauguin"",""Eugène Henry Paul Gauguin"",""Gauguin"",""gauguin paul"",""Kao-keng"",""Pablo Gauguin"",""Paul Eugène Henri Gauguin"",""Paul Gaugin"",""P. gaugin"",""p. gauguin"",""Polʹ Gogen""]",1848,1903,1848–1903,FR,"[{""country_code"":""FR"",""relationship_type"":""birth"",""is_primary"":false},{""country_code"":""FR"",""relationship_type"":""cultural_affiliation"",""is_primary"":false}]",classified,true,"[{""scheme"":""fng-person"",""id"":""61807"",""url"":""https://kokoelma.kansallisgalleria.fi/en/object/433175""},{""scheme"":""moma-person"",""id"":""2098"",""url"":""https://www.moma.org/collection/works/78621""},{""scheme"":""nga-constituent"",""id"":""1330"",""url"":""""},{""scheme"":""smk-person"",""id"":""1401_person"",""url"":""https://api.smk.dk/api/v1/art?object_number=KMS3147""},{""scheme"":""tate-person"",""id"":""1144"",""url"":""https://www.tate.org.uk/art/artists/paul-gauguin-1144""},{""scheme"":""wikidata"",""id"":""Q37693"",""url"":""https://www.wikidata.org/wiki/Q37693""}]","[""https://api.smk.dk/api/v1/art?object_number=KMS3147"",""https://media.githubusercontent.com/media/MuseumofModernArt/collection/7f1a337ee48e7daa05b5fdbc575a1797ac23b6cf/Artists.csv"",""https://pantheon.world/profile/person/Paul_Gauguin"",""https://raw.githubusercontent.com/NationalGalleryOfArt/opendata/f088836026d09d0d25001814fba0f84d757ebe62/data/constituents.csv"",""https://www.pop.culture.gouv.fr/notice/joconde/000PE003837"",""https://www.tate.org.uk/art/artists/paul-gauguin-1144"",""https://www.wikidata.org/wiki/Q37693""]",409,97,185,185,52,,,,,,,,,,,,,
caspar-david-friedrich-q104884,1ae75a7f-60fd-4f9d-86ae-184caf19514e,1ae75a7f-60fd-4f9d-86ae-184caf19514e,Caspar David Friedrich,person,review,true,48,https://artline-web-lpuqqlugnq-ew.a.run.app/artists/caspar-david-friedrich-q104884,"[""C. D. Friedrich"",""Friedrich Caspar David"",""Kaspar David Fridrikh"",""kaspar david friedrich"",""Kasparov David Friedrich""]",1774,1840,1774–1840,DE,"[{""country_code"":""DE"",""relationship_type"":""birth"",""is_primary"":false},{""country_code"":""DE"",""relationship_type"":""cultural_affiliation"",""is_primary"":false}]",classified,true,"[{""scheme"":""nga-constituent"",""id"":""6885"",""url"":""""},{""scheme"":""smk-person"",""id"":""6805_person"",""url"":""https://open.smk.dk/artwork/image/KMS8817""},{""scheme"":""wikidata"",""id"":""Q104884"",""url"":""https://www.wikidata.org/wiki/Q104884""}]","[""https://open.smk.dk/artwork/image/KMS8817"",""https://pantheon.world/profile/person/Caspar_David_Friedrich"",""https://raw.githubusercontent.com/NationalGalleryOfArt/opendata/f088836026d09d0d25001814fba0f84d757ebe62/data/constituents.csv"",""https://www.wikidata.org/wiki/Q104884""]",14,6,4,4,3,,,,,,,,,,,,,
gustave-dore-q6682,1ca72537-2848-4e69-bdac-9c3826420978,1ca72537-2848-4e69-bdac-9c3826420978,Gustave Doré,person,review,true,78,https://artline-web-lpuqqlugnq-ew.a.run.app/artists/gustave-dore-q6682,"[""Doré"",""G. Dore"",""Gustave Dore"",""Gustave-Paul Doré"",""Gustavo Doré"",""G.ve Doré"",""Louis Auguste Gustave Doré"",""Louis Christophe Gustave Dore"",""Louis Christophe Paul Gustave Dore"",""Paul-Gustave Dore"",""Paul Gustave Louis Christophe Dore""]",1832,1883,1832–1883,FR,"[{""country_code"":""FR"",""relationship_type"":""birth"",""is_primary"":false},{""country_code"":""FR"",""relationship_type"":""cultural_affiliation"",""is_primary"":false}]",classified,true,"[{""scheme"":""nga-constituent"",""id"":""3948"",""url"":""""},{""scheme"":""walters-person"",""id"":""3589"",""url"":""https://purl.thewalters.org/art/37.2625""},{""scheme"":""wikidata"",""id"":""Q6682"",""url"":""https://www.wikidata.org/wiki/Q6682""}]","[""https://pantheon.world/profile/person/Gustave_Dor%C3%A9"",""https://raw.githubusercontent.com/NationalGalleryOfArt/opendata/f088836026d09d0d25001814fba0f84d757ebe62/data/constituents.csv"",""https://www.pop.culture.gouv.fr/notice/joconde/000PE028360"",""https://www.wikidata.org/wiki/Q6682""]",371,30,350,350,28,,,,,,,,,,,,,
