task_id,artwork_slug,title,reported_outcome,next_action
70cbbbd2-704d-4537-9d6f-499f6dfa4d5e,europe-joconde-m0629-e7e7a20eaa39-apres-la-debacle-la-seine-au-pont-de-suresnes,APRES LA DEBACLE LA SEINE AU PONT DE SURESNES,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
79837398-5ade-406c-8783-cda9582afd6e,europe-met-the-met-546ce2c15414-boy-in-a-striped-sweater,Boy in a Striped Sweater,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
e52c8499-6c65-42db-8747-aac0bf6c2070,europe-popular-ng-377e303e6cde-a-woman-drinking,A Woman Drinking,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
082b0b6b-8975-4817-b3a3-467a60d9a0a4,europe-tate-4b851e6a6ff1-a-lady-of-the-spencer-family,A Lady of the Spencer Family,verified_metadata_only,"Object title, creator, date, object identifier and medium were available in the museum page/its public HTML. Dimensions were not retrieved. Further image research remains."
5deac859-a3a1-4456-9bc3-1916aad1555e,europe-popular-ng-26f6641eeb17-a-peasant-boy-leaning-on-a-sill,A Peasant Boy leaning on a Sill,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
713158da-7ed4-461a-8355-391a46f7a840,europe-popular-marmottan-museum-132af58af1cc-au-bal,Au bal,verified_metadata_only,Source supplies two dimension sets without labelling the second as framed. Both are preserved; do not silently substitute one for the other.
39bca909-bc44-40fb-ae7e-c5636bed36b2,europe-tate-b6f3146cd4d0-a-corner-of-the-meadow-at-eragny,A Corner of the Meadow at Eragny,verified_metadata_only,"Object title, creator, date, object identifier and medium were available in the museum page/its public HTML. Dimensions were not retrieved. Further image research remains."
9a710b71-4b16-4392-ae66-d2a57facafaa,europe-pushkin-5207196eeca1-bucentaur-s-return-to-the-pier-by-the-palazzo-ducale,BUCENTAUR’S RETURN TO THE PIER BY THE PALAZZO DUCALE,needs_review,Legacy Pushkin page identifies Ж-2678 but contains an inconsistent Hermitage heading while its text discusses the Pushkin painting and a related Hermitage picture. Holding must be resolved against a clean institutional record; no museum change proposed.
0bccf73f-8f26-46e2-bacf-465c0d1e3c33,europe-pushkin-4c0564cd8d76-giant-mountains-view-of-the-small-sturmhaube-from-warmbrunn,Giant Mountains (View of the Small Sturmhaube from Warmbrunn),blocked,"Attempted supplied/source-discovered URL https://pushkinmuseum.art/data/fonds/europe_and_america/j/0000_1000/zh_2199/index.php. Legacy page returned only the title, site warnings and footer, without usable object metadata."
e5135051-9d4b-4caf-b1a6-d628452ea7fe,europe-popular-ng-aliases-9799bc4217c9-a-seaport,A Seaport,verified_metadata_only,"Locate an independently verified, reusable reproduction of this exact object."
