artist_slug,artist_name,reported_outcome,next_action
tintoretto-q9319,Tintoretto,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
eugene-delacroix-q33477,Eugène Delacroix,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
frida-kahlo-q5588,Frida Kahlo,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
kazimir-malevich-q130777,Kazimir Malevich,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
anthony-van-dyck-q150679,Anthony van Dyck,needs_review,Country evidence researched. Additional museum paintings were sought in the NGA objects dataset and checked against the complete supplied active/archived index and redirects. See duplicate_check_audit.csv.
johannes-vermeer-q41264,Johannes Vermeer,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
jean-honore-fragonard-q127171,Jean-Honoré Fragonard,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
paul-gauguin-q37693,Paul Gauguin,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
caspar-david-friedrich-q104884,Caspar David Friedrich,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
gustave-dore-q6682,Gustave Doré,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
edouard-manet-q40599,Édouard Manet,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
alfred-sisley-q175130,Alfred Sisley,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
el-greco-q301,El Greco,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
albrecht-durer-q5580,Albrecht Dürer,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
diego-velazquez-q297,Diego Velázquez,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
lucas-cranach-the-elder-q191748,Lucas Cranach the Elder,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
joan-miro-q152384,Joan Miró,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
francisco-de-zurbaran-q209615,Francisco de Zurbarán,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
marc-chagall-q93284,Marc Chagall,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
oskar-kokoschka-q154260,Oskar Kokoschka,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
jan-van-eyck,Jan van Eyck,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
pierre-auguste-renoir-q39931,Pierre-Auguste Renoir,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
piet-mondrian-q151803,Piet Mondrian,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
henri-rousseau-q156386,Henri Rousseau,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
hieronymus-bosch-q130531,Hieronymus Bosch,needs_review,Country evidence researched. Additional museum paintings were sought in the NGA objects dataset and checked against the complete supplied active/archived index and redirects. See duplicate_check_audit.csv.
giovanni-bellini-q17169,Giovanni Bellini,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
titian-q47551,Titian,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
paul-klee-q44007,Paul Klee,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
canaletto-q182664,Canaletto,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
vincent-van-gogh-q5582,Vincent van Gogh,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
andrea-mantegna-q5681,Andrea Mantegna,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
elisabeth-vigee-le-brun-q213163,Élisabeth Vigée Le Brun,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
edvard-munch,Edvard Munch,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
sandro-botticelli-q5669,Sandro Botticelli,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
jean-antoine-watteau-q183221,Jean-Antoine Watteau,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
nicolas-poussin-q41554,Nicolas Poussin,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
jackson-pollock-q37571,Jackson Pollock,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
giuseppe-arcimboldo-q7751,Giuseppe Arcimboldo,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
cimabue-q15790,Cimabue,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
raphael-q5597,Raphael,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
domenico-ghirlandaio-q191423,Domenico Ghirlandaio,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
gustave-courbet-q34618,Gustave Courbet,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
francois-boucher-q180932,François Boucher,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
fra-angelico-q5664,Fra Angelico,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
giovanni-battista-tiepolo-q186202,Giovanni Battista Tiepolo,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
caravaggio-q42207,Caravaggio,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
berthe-morisot-q105320,Berthe Morisot,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
paul-signac-q151573,Paul Signac,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
georges-seurat-q34013,Georges Seurat,unvisited,This painter was not revisited in the returned research; retain existing affiliations without claiming fresh verification.
sofonisba-anguissola-q236038,Sofonisba Anguissola,needs_review,"Explicit country wording remains to be corroborated. Additional-work search used the Met artistOrCulture search for Sofonisba Anguissola: object 892539 returned 404; objects 640275 and 333870 are a lithographic book and engraved album by other makers, excluded from this painting pass. Do not mistake their French/Irish primary-artist fields for Sofonisba’s affiliation."
