artist,authority_url,new_profile,birth_year,death_year,timeline_basis,selected_records,new_artworks,images_attached
Hakuin Ekaku,https://www.wikidata.org/wiki/Q177059,True,1686,1769,life,1,1,1
Ike no Taiga,https://www.wikidata.org/wiki/Q2661041,True,1723,1776,life,5,5,5
Ikkyū Sōjun,https://www.wikidata.org/wiki/Q467613,True,1394,1481,life,1,1,1
Ishikawa Toyonobu,https://www.wikidata.org/wiki/Q3038261,True,1711,1785,life,1,1,1
Isoda Koryūsai,https://www.wikidata.org/wiki/Q3155497,True,1735,1790,life,1,1,1
Itō Jakuchū,https://www.wikidata.org/wiki/Q1240575,False,1716,1800,life,1,0,0
Iwasa Matabē,https://www.wikidata.org/wiki/Q3156405,True,1578,1650,life,1,1,1
Kaigetsudō Ando,https://www.wikidata.org/wiki/Q3191947,True,1671,1743,life,1,1,1
Kantei,https://www.wikidata.org/wiki/Q3192747,True,1450,1499,life,1,1,1
Kanō Naizen,https://www.wikidata.org/wiki/Q374744,True,1570,1616,life,1,1,1
Kanō Shōei,https://www.wikidata.org/wiki/Q3192788,True,1519,1592,life,1,1,1
Katsushika Hokusai,https://www.wikidata.org/wiki/Q5586,False,1760,1849,life,1,1,1
Kawanabe Kyōsai,https://www.wikidata.org/wiki/Q2838030,False,1831,1889,life,1,0,0
Kenkō Shōkei,https://www.wikidata.org/wiki/Q3482781,True,1450,1523,life,1,1,1
Kōno Bairei,https://www.wikidata.org/wiki/Q3201302,False,1844,1895,life,1,0,0
Matsumura Goshun,https://www.wikidata.org/wiki/Q960116,False,1752,1811,life,1,0,0
Miyagawa Chōshun,https://www.wikidata.org/wiki/Q3317298,True,1683,1753,life,1,1,1
Nagasawa Rosetsu,https://www.wikidata.org/wiki/Q1632536,False,1754,1799,life,2,1,1
Nobukiyo Kato,https://www.wikidata.org/wiki/Q47470129,True,1734,1810,life,1,1,1
Ogata Kōrin,https://www.wikidata.org/wiki/Q952938,False,1658,1716,life,2,1,1
Sakai Ōho,https://www.wikidata.org/wiki/Q11644287,True,1808,1841,life,1,1,1
Shibata Zeshin,https://www.wikidata.org/wiki/Q2386947,False,1807,1891,life,1,0,0
Shunsō Shōju,https://www.wikidata.org/wiki/Q22669095,True,1751,1835,life,1,1,1
Tosa Mitsunobu,https://www.wikidata.org/wiki/Q3042277,True,1434,1525,life,1,1,1
Tosa Mitsunori,https://www.wikidata.org/wiki/Q11423006,True,1583,1638,life,1,1,1
Tosa Mitsuyoshi,https://www.wikidata.org/wiki/Q3532590,True,1539,1613,life,2,2,2
Urakami Gyokudō,https://www.wikidata.org/wiki/Q737819,False,1745,1820,life,1,0,0
Utagawa Toyoharu,https://www.wikidata.org/wiki/Q3109421,True,1735,1814,life,1,1,1
