met_object_id,accession,title,artist,artist_authority,date,museum_record,new_artwork,image_attached,status,image_credit
57249,57.84,Hanshan and Shide,Kenkō Shōkei 賢江祥啓,https://www.wikidata.org/wiki/Q3482781,mid- to late 16th century,https://www.metmuseum.org/art/collection/search/57249,True,True,review,Kenkō Shōkei 賢江祥啓; The Metropolitan Museum of Art; CC0
845805,2020.392,Moonlit Landscape,Nagasawa Rosetsu 長澤蘆雪,https://www.wikidata.org/wiki/Q1632536,1794–95,https://www.metmuseum.org/art/collection/search/845805,False,False,review,Nagasawa Rosetsu 長澤蘆雪; The Metropolitan Museum of Art; CC0
53226,"2015.300.52a, b",Two Views from the Eight Views of the Xiao and Xiang Rivers,Kantei,https://www.wikidata.org/wiki/Q3192747,early 16th century,https://www.metmuseum.org/art/collection/search/53226,True,True,review,Kantei; The Metropolitan Museum of Art; CC0
45258,"1975.268.44, .45",Bamboo in the Four Seasons,Tosa Mitsunobu,https://www.wikidata.org/wiki/Q3042277,late 15th–early 16th century,https://www.metmuseum.org/art/collection/search/45258,True,True,review,Tosa Mitsunobu; The Metropolitan Museum of Art; CC0
853191,2021.398.10,Rush-Sandal Chen (Chen Puxie),Ikkyū Sōjun,https://www.wikidata.org/wiki/Q467613,late 15th century,https://www.metmuseum.org/art/collection/search/853191,True,True,review,Ikkyū Sōjun; The Metropolitan Museum of Art; CC0
670542,"2015.300.167a, b",Evening Glow in a Mountain Village and Calligraphy,Ike no Taiga,https://www.wikidata.org/wiki/Q2661041,late 18th–early 19th century,https://www.metmuseum.org/art/collection/search/670542,True,True,review,Ike no Taiga; The Metropolitan Museum of Art; CC0
53892,"2015.300.34a, b",Albums of scenes from The Tale of Genji,Tosa Mitsunori,https://www.wikidata.org/wiki/Q11423006,early 17th century,https://www.metmuseum.org/art/collection/search/53892,True,True,review,Tosa Mitsunori; The Metropolitan Museum of Art; CC0
670889,"2015.300.210a, b",Luring the Sun Goddess Amaterasu Out of a Cave with Music; Death of the Historical Buddha,Kōno Bairei,https://www.wikidata.org/wiki/Q3201302,late 19th century,https://www.metmuseum.org/art/collection/search/670889,False,False,review,Kōno Bairei; The Metropolitan Museum of Art; CC0
44634,1991.151,Drunken Asaina,Katsushika Hokusai,https://www.wikidata.org/wiki/Q5586,ca. 1810,https://www.metmuseum.org/art/collection/search/44634,True,True,review,Katsushika Hokusai; The Metropolitan Museum of Art; CC0
53237,"2015.300.68a, b",Pheasants among Trees: Flowers of the Four Seasons,Kano Shōei,https://www.wikidata.org/wiki/Q3192788,probably 1560s,https://www.metmuseum.org/art/collection/search/53237,True,True,review,Kano Shōei; The Metropolitan Museum of Art; CC0
53427,2015.300.100a–f,Six Jewel Rivers,Sakai Ōho,https://www.wikidata.org/wiki/Q11644287,ca. 1839,https://www.metmuseum.org/art/collection/search/53427,True,True,review,Sakai Ōho; The Metropolitan Museum of Art; CC0
53408,2015.300.213,White Plum Blossoms and Moon,Itō Jakuchū,https://www.wikidata.org/wiki/Q1240575,1755,https://www.metmuseum.org/art/collection/search/53408,False,False,review,Itō Jakuchū; The Metropolitan Museum of Art; CC0
670540,2015.300.165a–c,Mountain and Calligraphy,Ike no Taiga,https://www.wikidata.org/wiki/Q2661041,18th–19th century,https://www.metmuseum.org/art/collection/search/670540,True,True,review,Ike no Taiga; The Metropolitan Museum of Art; CC0
853202,2021.398.15,"Archbishop Henjō (Sōjō Henjō zu), from the Dōon Version of the Thirty-Six Poetic Immortals",Iwasa Matabei 岩佐又兵衛,https://www.wikidata.org/wiki/Q3156405,1620s–1630s,https://www.metmuseum.org/art/collection/search/853202,True,True,review,Iwasa Matabei 岩佐又兵衛; The Metropolitan Museum of Art; CC0
53238,"2015.300.69a, b",Zheng Huangniu and Yushanzhu,Kano Naizen,https://www.wikidata.org/wiki/Q374744,early 17th century,https://www.metmuseum.org/art/collection/search/53238,True,True,review,Kano Naizen; The Metropolitan Museum of Art; CC0
670999,2015.300.204,Drinking Festival of the Eight Immortals of the Wine Cup,Nagasawa Rosetsu,https://www.wikidata.org/wiki/Q1632536,late 18th century,https://www.metmuseum.org/art/collection/search/670999,True,True,review,Nagasawa Rosetsu; The Metropolitan Museum of Art; CC0
55378,36.100.44,Tanuki (Racoon  Dog) Viewing Its Reflection in Water,Kawanabe Kyōsai 河鍋暁斎,https://www.wikidata.org/wiki/Q2838030,late 19th century,https://www.metmuseum.org/art/collection/search/55378,False,False,review,Kawanabe Kyōsai 河鍋暁斎; The Metropolitan Museum of Art; CC0
812305,2018.914.2,Courtesan as Daruma,Utagawa Toyoharu,https://www.wikidata.org/wiki/Q3109421,ca. 1800; inscription ca. 1810,https://www.metmuseum.org/art/collection/search/812305,True,True,review,Utagawa Toyoharu; The Metropolitan Museum of Art; CC0
73359,2015.300.217,Ten Rakan Examining a Painting of White-Robed Kannon,Katō Nobukiyo,https://www.wikidata.org/wiki/Q47470129,1788–92,https://www.metmuseum.org/art/collection/search/73359,True,True,review,Katō Nobukiyo; The Metropolitan Museum of Art; CC0
78145,2015.500.9.3,Portrait of Bodhidharma,Hakuin Ekaku,https://www.wikidata.org/wiki/Q177059,mid-18th century,https://www.metmuseum.org/art/collection/search/78145,True,True,review,Hakuin Ekaku; The Metropolitan Museum of Art; CC0
57344,49.35.1,White Poppies on Gold Ground,Ogata Kōrin,https://www.wikidata.org/wiki/Q952938,,https://www.metmuseum.org/art/collection/search/57344,True,True,review,Ogata Kōrin; The Metropolitan Museum of Art; CC0
45396,14.76.32,Painting the Eyes on a Snow Rabbit,Isoda Koryūsai,https://www.wikidata.org/wiki/Q3155497,ca. 1780,https://www.metmuseum.org/art/collection/search/45396,True,True,review,Isoda Koryūsai; The Metropolitan Museum of Art; CC0
